latitude,frequency
-80,0
-78.22,0.0006
-70.35,0.0004
-65.38,0
-35.69,0
-35.09,0.0452
-32.3,0.0553
-29.52,0.0457
-26.73,0.046
-24.06,0.0413
-20.91,0.0519
-19.1,0.0625
-17.52,0.0705
-15.7,0.0784
-12.67,0.0897
-9.89,0.105
-7.1,0.1075
-4.56,0.1032
-1.41,0.0941
1.5,0.0837
2.71,0.0874
4.17,0.0862
6.83,0.0628
9.62,0.0479
11.56,0.0406
13.86,0.033
16.16,0.0286
20.04,0.0229
23.55,0.0198
26.83,0.0223
28.89,0.0258
31.79,0.0252
34.94,0.0315
37.37,0.0202
40.4,0.0157
43.18,0.0128
46.7,0.013
51.66,0.0114
54.21,0.0163
60.02,0.0167
62.57,0.0216
65.6,0.0198
68.63,0.0199
71.29,0.0177
73.72,0.0145
76.62,0.0151
79.53,0.0123
80,0
