latitude,frequency
-80,0
-75.02,0
-73.5,0.0019
-70.47,0.0019
-68.29,0.001
-65.38,0.0018
-57.75,0.0079
-54.67,0.0181
-49.14,0.0169
-45.51,0.0214
-40.78,0.0384
-38,0.0399
-35.21,0.0521
-32.42,0.0507
-29.52,0.0415
-26.85,0.0377
-23.82,0.0391
-21.28,0.038
-17.16,0.0469
-14.25,0.0566
-9.89,0.072
-8.31,0.0818
-6.62,0.0911
-5.04,0.0987
-4.31,0.1013
-1.65,0.095
1.14,0.095
2.35,0.1013
4.05,0.1091
6.71,0.1019
8.29,0.0875
9.62,0.0729
11.32,0.0629
15.19,0.0416
17.98,0.045
20.53,0.0381
23.55,0.0342
29.25,0.038
32.04,0.0494
34.82,0.0541
37.61,0.0468
38.58,0.0412
40.4,0.0317
42.82,0.0216
45.85,0.0145
48.63,0.0087
52.39,0.007
53.84,0.0069
57,0.0053
60.15,0.0087
63.05,0.0088
65.48,0.0078
68.26,0.0097
73.35,0.0069
79.29,0.0026
80,0
