latitude,frequency
-80,0.1086
-77.01,0.0894
-71.56,0.0812
-68.41,0.0528
-63.44,0.0317
-60.65,0.0261
-57.99,0.0166
-54.47,0.016
-49.14,0.0123
-46.24,0.0151
-40.54,0.0158
-38,0.0218
-35.33,0.0205
-32.42,0.027
-29.52,0.0238
-27.46,0.0246
-23.82,0.0214
-19.1,0.0243
-14.37,0.0312
-12.79,0.0346
-10.61,0.0465
-7.71,0.0595
-6.62,0.0604
-5.16,0.0585
-3.71,0.0588
-1.28,0.0639
1.14,0.0762
6.59,0.1122
8.17,0.1195
9.74,0.1268
12.77,0.0905
14.71,0.0776
19.56,0.0515
23.19,0.0362
26.83,0.0328
34.7,0.0381
37.37,0.0425
40.4,0.0251
42.94,0.0292
45.61,0.0255
49.12,0.0251
51.91,0.0167
54.45,0.013
57.12,0.0104
59.3,0.0097
62.45,0.0066
66.57,0.0051
71.29,0.0019
76.26,0.0022
80,0
